GSE91061,GSE61992,GSE91061|GSE61992
FCMR,ATP5F1EP2,GSTO1
ESR2,STC1,SLC25A36
COX7B2,FKBP5,ADO
LRRC72,SLC25A23,NAP1L4
UBE2Q2,DAB2,DNAJC9
PKD1L1-AS1,TNFRSF21,RAB32
FILNC1,POMP,BTG3
MIR4689,HLA-B,ATP6AP1
USP53,CTSZ,DNAJB1
EPHA4,IGKV1ORY-1,EXOSC10
LINC00922,NPTX2,WIPI1
MTCL3,ITGA3,GNB1
RNLS,GSDME,TMCO1
IMP3,TFAP2A,DPY30
MTRNR2L8,GALNT11,EIF2B4
TCERG1L,DLD,MRPL39
CLEC17A,AURKA,TBCE
ST6GALNAC3,HIGD2A,ERCC1
KRTAP2-3,SELENOP,PNPT1
TNNI3,S100A3,EVI5
CHRNB4,BLOC1S6,VPS53
HEXIM1,DDX17,CPOX
COMMD2,IL1B,CISD1
MIR3197,SESTD1,PRKRA
HLTF,DPM1,PLPBP
SSPN,ANGPTL7,POLG
PAX5,GID8,CSE1L
COMMD4,RPS12,SS18L2
ARPP19,ZNF394,C1orf174
CCDC144NL,RPL21,CCDC6
RLN2,PIGM,DCTD
SNUPN,COMMD6,SEC11C
OC90,EIF3L,NISCH
ISG20,SCRN1,
PTPN9,SERTAD1,
MESD,ZNF682,
RBMY2EP,PLEKHA2,
ANKUB1,LAMP1,
PSEN2,CD83,
FER1L6,GORASP2,
FAM167A,DUSP19,
STX18,LUM,
EPG5,DDX27,
NPHP4,TRIM4,
EIF4A3,OCA2,
RAB11A,PMEL,
ACAT2,ZNF529,
DIS3L,BEX4,
ARSG,IER5L,
H2AZ1,GFRA3,
LSS,JARID2,
CARD14,KIAA1671,
C21orf91-OT1,SCIN,
CHMP1B,RPL27,
SLCO5A1,MBD6,
EIF3B,CXCL16,
BNIP2,RCBTB2,
TSC22D2,FNBP1,
DNM1P35,SERPINB6,
BTBD10,LINC00221,
TIPIN,VGF,
DCAF4L2,LRRFIP1,
INTS14,HGC6.3,
CHRNA3,EMC1,
TSPAN3,TAF4,
EVA1C,LTA4H,
FCRL2,SRPRB,
VAPA,CFL1,
PCCA,CCNY,
SNX33,CFAP68,
LINC00520,CAPN3,
AHCYL1,RNF125,
TLNRD1,CDK2,
RDUR,DUT,
SEC14L1,ATP5PF,
ARMC8,DARS2,
HYKK,VWF,
LCMT1,HERPUD1,
SLC39A11,ID2,
CDCA2,CTSG,
PRKD3,SRP14,
ZWILCH,UBE4B,
RIMOC1,DUS4L,
GMFB,ARHGEF10,
CARS1,PDLIM1,
MGC16275,S100A8,
PLSCR1,TAP1,
CREM,ZCCHC17,
MED24,AOC4P,
FBXO22,CGN,
PI4K2A,UPP1,
TLR10,NDUFA6,
DHRS2,NPTX1,
AQP4-AS1,UBE2F,
ZNF648,NRIP3,
LINC00693,DNASE2,
EIF1,MFAP2,
SNX9,ZBTB4,
HPS3,CFAP74,
RETREG3,IMPA1,
ICE2,,
SELENOT,,
MIR1286,,
ZNF410,,
BACE2,,
KLC1,,
AQP6,,
PCSK9,,
IREB2,,
IQCE,,
SKA2,,
SCAPER,,
SLIT1,,
UBE2Z,,
